City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,colonia,50.9333,6.95,4.77,92,75,1.03
1,porto novo,6.4965,2.6036,27.9,58,22,1.93
2,puerto colombia,10.9878,-74.9547,25.05,73,32,7.03
3,port alfred,-33.5906,26.891,17.88,83,0,0.45
4,puerto natales,-51.7236,-72.4875,9.4,80,87,6.69
5,waitangi,-43.9535,-176.5597,19.34,91,83,2.36
6,woolgoolga,-30.1106,153.2007,22.25,89,99,7.72
7,port-aux-francais,-49.35,70.2167,4.7,77,94,11.84
8,bethel,41.3712,-73.414,6.46,52,39,1.35
9,sao caetano do sul,-23.6231,-46.5511,25.03,78,40,3.6
10,ushuaia,-54.8,-68.3,9.81,57,40,10.8
11,sandnessjoen,66.0217,12.6316,-1.94,93,100,2.03
12,ilulissat,69.2167,-51.1,-7.99,86,100,6.69
13,adamstown,-25.066,-130.1015,24.92,84,100,8.83
14,whitehorse,60.7161,-135.0538,-13.28,85,20,3.6
15,mili,6.0815,171.735,27.99,76,100,9.04
16,el nido,11.1858,119.3956,26.04,79,79,3.32
17,hawaiian paradise park,19.5933,-154.9731,24.73,87,100,1.54
18,grytviken,-54.2811,-36.5092,10.71,65,100,6.44
19,sinabang,2.4803,96.3801,26.69,81,100,1.19
20,paysandu,-32.3214,-58.0756,37.0,24,0,4.04
21,west island,-12.1568,96.8225,25.99,94,100,0.0
22,flying fish cove,-10.4217,105.6791,24.82,94,40,1.03
23,edinburgh of the seven seas,-37.0676,-12.3116,17.47,65,55,1.55
24,codrington,-38.2667,141.9667,14.89,69,77,3.17
25,hermanus,-34.4187,19.2345,18.78,83,41,4.22
26,albany,42.6001,-73.9662,3.63,63,77,0.91
27,piton saint-leu,-21.2196,55.3151,25.04,73,20,2.06
28,mabaruma,8.2,-59.7833,27.12,74,32,3.84
29,papatowai,-46.5619,169.4708,15.06,58,35,7.8
30,crane,31.3974,-102.3501,21.24,23,92,3.31
31,mejit,10.2753,170.8646,26.78,79,86,10.31
32,ribeira grande,38.5167,-28.7,17.1,87,96,9.39
33,smidovich,48.6,133.8167,-23.34,100,69,1.21
34,college,64.8569,-147.8028,-8.44,80,75,0.0
35,tazovsky,67.4667,78.7,-12.58,96,100,4.84
36,newman,37.3138,-121.0208,10.19,87,99,1.79
37,invercargill,-46.4,168.35,16.12,63,46,6.71
38,bubaque,11.2833,-15.8333,26.46,76,91,6.54
39,ta`u,-14.2336,-169.5144,27.99,85,100,12.23
40,vorkuta,67.5,64.0,-9.27,89,100,4.26
41,longyearbyen,78.2186,15.6401,-7.09,73,40,10.8
42,pedra azul,-16.0053,-41.2972,23.96,66,100,0.95
43,castillos,-34.1667,-53.8333,25.22,68,32,4.87
44,rapid valley,44.0625,-103.1463,3.02,87,100,0.0
45,port elizabeth,-33.918,25.5701,20.61,76,0,4.63
46,dudinka,69.4058,86.1778,-23.51,98,41,2.24
47,puerto ayora,-0.7393,-90.3518,29.98,94,79,2.68
48,stanley,54.868,-1.6985,-0.96,92,0,1.03
49,keflavik,64.0049,-22.5624,-2.76,74,0,5.66
50,queenstown,-31.8976,26.8753,15.89,83,47,1.83
51,lihue,21.9789,-159.3672,26.58,68,40,6.17
52,qaqortoq,60.7167,-46.0333,-8.25,74,100,2.01
53,altamira,-3.2033,-52.2064,25.52,90,92,1.25
54,blackmans bay,-43.0167,147.3167,17.51,73,87,0.45
55,hamilton,39.1834,-84.5333,14.35,38,84,1.35
56,kone,-21.0595,164.8658,24.78,92,100,2.45
57,hasaki,35.7333,140.8333,0.22,56,49,1.55
58,cabo san lucas,22.8909,-109.9124,25.17,50,20,8.75
59,tekkali,18.6167,84.2333,22.17,91,0,0.93
60,yellowknife,62.456,-114.3525,-15.33,96,100,3.6
61,bilibino,68.0546,166.4372,-36.49,100,98,0.09
62,kodiak,57.79,-152.4072,1.73,80,75,3.6
63,ketchikan,55.3422,-131.6461,3.26,60,75,3.09
64,praskoveya,44.7444,44.2031,5.51,70,52,1.87
65,port lincoln,-34.7333,135.8667,17.3,73,49,5.81
66,san patricio,28.017,-97.5169,23.05,67,100,8.17
67,mount pleasant,32.7941,-79.8626,14.44,54,0,0.89
68,iqaluit,63.7506,-68.5145,-20.15,65,75,6.17
69,chemax,20.65,-87.9333,28.61,33,4,1.5
70,antsiranana,-12.2787,49.2917,25.44,88,95,2.15
71,kastsyukovichy,53.3516,32.0506,-7.89,90,97,5.49
72,asau,46.4333,26.4,9.6,72,100,6.85
73,mount pearl,47.5166,-52.7813,-1.69,86,100,8.75
74,enewetak,11.3474,162.3373,26.65,80,100,9.01
75,olinda,-8.0089,-34.8553,28.85,74,20,4.12
76,hadibu,12.65,54.0333,24.92,68,100,5.07
77,tazacorte,28.629,-17.9293,20.08,22,0,4.47
78,santiago de cao,-7.9589,-79.2392,26.07,73,0,5.66
79,hithadhoo,-0.6,73.0833,27.71,74,12,3.2
80,margaret river,-33.95,115.0667,17.6,49,0,2.46
81,larkird,35.4894,66.6641,-4.86,56,0,4.05
82,uturoa,-16.7333,-151.4333,28.22,87,45,14.13
83,utrik,11.2278,169.8474,26.47,76,100,9.47
84,susuman,62.7833,148.1667,-33.34,100,98,0.89
85,laojunmiao,39.8333,97.7333,-8.75,56,59,1.15
86,barbacena,-21.2258,-43.7736,18.73,91,100,1.88
87,revda,56.801,59.9303,-15.91,100,100,0.43
88,wailua homesteads,22.0669,-159.378,26.24,68,40,6.17
89,seydi,39.4816,62.9137,7.96,52,86,1.79
90,jamestown,42.097,-79.2353,7.8,39,0,2.06
91,okhotsk,59.3833,143.3,-25.16,83,100,3.61
92,thompson,55.7435,-97.8558,-14.91,85,100,1.54
93,wurno,13.2878,5.4233,21.74,16,0,4.82
94,luderitz,-26.6481,15.1594,18.87,75,28,6.1
95,mundri,-6.9558,111.71,23.78,90,98,1.43
96,luau,-10.7073,22.2247,18.68,95,97,1.04
97,rio grande,-32.035,-52.0986,26.08,80,46,7.23
98,iskateley,67.6803,53.1512,-20.55,98,100,4.47
99,avarua,-21.2078,-159.775,28.03,78,75,9.77
100,badger,64.8,-147.5333,-8.49,81,75,0.0
101,isafjordur,66.0755,-23.124,-6.95,76,4,2.54
102,puerto santa,-8.9906,-78.6456,26.18,76,9,4.9
103,illizi,26.4833,8.4667,11.89,24,1,1.96
104,nar'yan-mar,67.6713,53.087,-20.5,98,100,4.47
105,pedernales,18.0384,-71.744,26.22,59,41,3.88
106,bredasdorp,-34.5322,20.0403,18.78,78,4,4.77
107,punta arenas,-53.15,-70.9167,12.06,58,75,7.72
108,benjamin constant,-4.3831,-70.0311,30.07,79,20,2.57
109,oranjemund,-28.55,16.4333,18.54,87,2,4.07
110,sweetwater,25.7634,-80.3731,23.34,56,40,5.66
111,punta del este,-34.9667,-54.95,29.06,48,75,4.63
112,kapa'a,22.0752,-159.319,26.99,68,40,6.17
113,colares,38.7992,-9.4469,17.09,94,100,6.71
114,shimoda,34.6667,138.95,3.95,79,50,2.95
115,constantia,44.1833,28.65,7.38,66,100,6.19
116,san rafael,-34.6177,-68.3301,35.86,25,2,2.77
117,johvi,59.3592,27.4211,-9.83,87,100,2.37
118,kourou,5.1552,-52.6478,28.03,78,48,3.8
119,ponta delgada,37.7333,-25.6667,17.4,88,75,10.29
120,aasiaat,68.7098,-52.8699,-15.64,85,100,13.74
121,san bartolo,19.1833,-100.05,21.37,25,0,3.66
122,kapuskasing,49.4169,-82.4331,3.0,81,100,1.03
123,brokopondo,4.75,-55.1667,28.99,67,46,4.34
124,holualoa,19.6228,-155.9522,25.31,66,75,4.12
